,image_path,mask_path
0,Polyp_dataset/PNG/Original/1.png,Polyp_dataset/PNG/Ground Truth/1.png
1,Polyp_dataset/PNG/Original/10.png,Polyp_dataset/PNG/Ground Truth/10.png
2,Polyp_dataset/PNG/Original/100.png,Polyp_dataset/PNG/Ground Truth/100.png
3,Polyp_dataset/PNG/Original/101.png,Polyp_dataset/PNG/Ground Truth/101.png
4,Polyp_dataset/PNG/Original/102.png,Polyp_dataset/PNG/Ground Truth/102.png
5,Polyp_dataset/PNG/Original/103.png,Polyp_dataset/PNG/Ground Truth/103.png
6,Polyp_dataset/PNG/Original/104.png,Polyp_dataset/PNG/Ground Truth/104.png
7,Polyp_dataset/PNG/Original/105.png,Polyp_dataset/PNG/Ground Truth/105.png
8,Polyp_dataset/PNG/Original/106.png,Polyp_dataset/PNG/Ground Truth/106.png
9,Polyp_dataset/PNG/Original/107.png,Polyp_dataset/PNG/Ground Truth/107.png
10,Polyp_dataset/PNG/Original/108.png,Polyp_dataset/PNG/Ground Truth/108.png
11,Polyp_dataset/PNG/Original/109.png,Polyp_dataset/PNG/Ground Truth/109.png
12,Polyp_dataset/PNG/Original/11.png,Polyp_dataset/PNG/Ground Truth/11.png
13,Polyp_dataset/PNG/Original/110.png,Polyp_dataset/PNG/Ground Truth/110.png
14,Polyp_dataset/PNG/Original/111.png,Polyp_dataset/PNG/Ground Truth/111.png
15,Polyp_dataset/PNG/Original/112.png,Polyp_dataset/PNG/Ground Truth/112.png
16,Polyp_dataset/PNG/Original/113.png,Polyp_dataset/PNG/Ground Truth/113.png
17,Polyp_dataset/PNG/Original/114.png,Polyp_dataset/PNG/Ground Truth/114.png
18,Polyp_dataset/PNG/Original/115.png,Polyp_dataset/PNG/Ground Truth/115.png
19,Polyp_dataset/PNG/Original/116.png,Polyp_dataset/PNG/Ground Truth/116.png
20,Polyp_dataset/PNG/Original/117.png,Polyp_dataset/PNG/Ground Truth/117.png
21,Polyp_dataset/PNG/Original/118.png,Polyp_dataset/PNG/Ground Truth/118.png
22,Polyp_dataset/PNG/Original/119.png,Polyp_dataset/PNG/Ground Truth/119.png
23,Polyp_dataset/PNG/Original/12.png,Polyp_dataset/PNG/Ground Truth/12.png
24,Polyp_dataset/PNG/Original/120.png,Polyp_dataset/PNG/Ground Truth/120.png
25,Polyp_dataset/PNG/Original/121.png,Polyp_dataset/PNG/Ground Truth/121.png
26,Polyp_dataset/PNG/Original/122.png,Polyp_dataset/PNG/Ground Truth/122.png
27,Polyp_dataset/PNG/Original/123.png,Polyp_dataset/PNG/Ground Truth/123.png
28,Polyp_dataset/PNG/Original/124.png,Polyp_dataset/PNG/Ground Truth/124.png
29,Polyp_dataset/PNG/Original/125.png,Polyp_dataset/PNG/Ground Truth/125.png
30,Polyp_dataset/PNG/Original/126.png,Polyp_dataset/PNG/Ground Truth/126.png
31,Polyp_dataset/PNG/Original/127.png,Polyp_dataset/PNG/Ground Truth/127.png
32,Polyp_dataset/PNG/Original/128.png,Polyp_dataset/PNG/Ground Truth/128.png
33,Polyp_dataset/PNG/Original/129.png,Polyp_dataset/PNG/Ground Truth/129.png
34,Polyp_dataset/PNG/Original/13.png,Polyp_dataset/PNG/Ground Truth/13.png
35,Polyp_dataset/PNG/Original/130.png,Polyp_dataset/PNG/Ground Truth/130.png
36,Polyp_dataset/PNG/Original/131.png,Polyp_dataset/PNG/Ground Truth/131.png
37,Polyp_dataset/PNG/Original/132.png,Polyp_dataset/PNG/Ground Truth/132.png
38,Polyp_dataset/PNG/Original/133.png,Polyp_dataset/PNG/Ground Truth/133.png
39,Polyp_dataset/PNG/Original/134.png,Polyp_dataset/PNG/Ground Truth/134.png
40,Polyp_dataset/PNG/Original/135.png,Polyp_dataset/PNG/Ground Truth/135.png
41,Polyp_dataset/PNG/Original/136.png,Polyp_dataset/PNG/Ground Truth/136.png
42,Polyp_dataset/PNG/Original/137.png,Polyp_dataset/PNG/Ground Truth/137.png
43,Polyp_dataset/PNG/Original/138.png,Polyp_dataset/PNG/Ground Truth/138.png
44,Polyp_dataset/PNG/Original/139.png,Polyp_dataset/PNG/Ground Truth/139.png
45,Polyp_dataset/PNG/Original/14.png,Polyp_dataset/PNG/Ground Truth/14.png
46,Polyp_dataset/PNG/Original/140.png,Polyp_dataset/PNG/Ground Truth/140.png
47,Polyp_dataset/PNG/Original/141.png,Polyp_dataset/PNG/Ground Truth/141.png
48,Polyp_dataset/PNG/Original/142.png,Polyp_dataset/PNG/Ground Truth/142.png
49,Polyp_dataset/PNG/Original/143.png,Polyp_dataset/PNG/Ground Truth/143.png
50,Polyp_dataset/PNG/Original/144.png,Polyp_dataset/PNG/Ground Truth/144.png
51,Polyp_dataset/PNG/Original/145.png,Polyp_dataset/PNG/Ground Truth/145.png
52,Polyp_dataset/PNG/Original/146.png,Polyp_dataset/PNG/Ground Truth/146.png
53,Polyp_dataset/PNG/Original/147.png,Polyp_dataset/PNG/Ground Truth/147.png
54,Polyp_dataset/PNG/Original/148.png,Polyp_dataset/PNG/Ground Truth/148.png
55,Polyp_dataset/PNG/Original/149.png,Polyp_dataset/PNG/Ground Truth/149.png
56,Polyp_dataset/PNG/Original/15.png,Polyp_dataset/PNG/Ground Truth/15.png
57,Polyp_dataset/PNG/Original/150.png,Polyp_dataset/PNG/Ground Truth/150.png
58,Polyp_dataset/PNG/Original/151.png,Polyp_dataset/PNG/Ground Truth/151.png
59,Polyp_dataset/PNG/Original/152.png,Polyp_dataset/PNG/Ground Truth/152.png
60,Polyp_dataset/PNG/Original/153.png,Polyp_dataset/PNG/Ground Truth/153.png
61,Polyp_dataset/PNG/Original/154.png,Polyp_dataset/PNG/Ground Truth/154.png
62,Polyp_dataset/PNG/Original/155.png,Polyp_dataset/PNG/Ground Truth/155.png
63,Polyp_dataset/PNG/Original/156.png,Polyp_dataset/PNG/Ground Truth/156.png
64,Polyp_dataset/PNG/Original/157.png,Polyp_dataset/PNG/Ground Truth/157.png
65,Polyp_dataset/PNG/Original/158.png,Polyp_dataset/PNG/Ground Truth/158.png
66,Polyp_dataset/PNG/Original/159.png,Polyp_dataset/PNG/Ground Truth/159.png
67,Polyp_dataset/PNG/Original/16.png,Polyp_dataset/PNG/Ground Truth/16.png
68,Polyp_dataset/PNG/Original/160.png,Polyp_dataset/PNG/Ground Truth/160.png
69,Polyp_dataset/PNG/Original/161.png,Polyp_dataset/PNG/Ground Truth/161.png
